ID,Group,folder,q,RR-2D-xy,RR-1D-x,DET-2D-xy,DET-1D-x,ENT-2D-xy,ENT-1D-x,FixDurSum,FixCount,SaccAmpMean,SaccMaxVelPeak,SaccCount,RegCountSum,ROIFixDurSum
m11q5,MCI,11,5,0.0163313609467455,0.0460355029585798,0.7681159420289855,0.5886889460154242,1.0982178839548995,1.0470476441121828,7945.999999999998,19,4.134643604755784,149.12716125639304,34,24,16.744999999999997
m12q1,MCI,12,1,0.0278200692041522,0.057439446366782,0.7960199004975125,0.7385542168674699,1.72542598610683,1.750741844086692,13200.999999999996,24,1.5360649791573955,130.65778259820405,37,43,22.984999999999996
m12q2,MCI,12,2,0.041875,0.066875,0.8731343283582089,0.7383177570093458,2.6060216652733668,2.039140552112086,5623.000000000001,12,0.8279798656331432,139.28203816564593,21,5,10.267
m12q3,MCI,12,3,0.0248381556348262,0.0422777117188532,0.7659574468085106,0.6640625,1.7566653758883144,1.3273653838132309,9535.0,26,4.125752057058187,151.38036574886692,50,45,23.103999999999996
m12q4,MCI,12,4,0.0138561964619379,0.0493338833749909,0.7408056042031523,0.6606000983767831,1.4855863042413566,1.49145725401119,14302.999999999998,26,3.8844454669732587,136.93827522086002,50,44,25.179999999999993
m12q5,MCI,12,5,0.0411951109099139,0.1081937528293345,0.912087912087912,0.7405857740585774,1.640223928941852,1.3006179768062938,3057.0,8,1.8657704031060112,123.45469636307224,13,10,5.989
m13q1,MCI,13,1,0.0319132273474821,0.0893178792387814,0.8122699386503067,0.79351161771153,2.156733527030151,2.2885790518182376,22863.0,20,1.915003896985146,91.1197920045008,25,39,29.342999999999986
m13q2,MCI,13,2,0.0246746440737182,0.0554633592453489,0.720353982300885,0.6811023622047244,1.6448539000873632,1.5376415120808289,12953.0,35,3.233582130285417,145.21874967437014,56,44,27.014999999999993
m13q3,MCI,13,3,0.0423875432525951,0.0947231833910034,0.7959183673469388,0.817351598173516,1.3411548353945062,1.3603842940432418,3668.0,12,3.721523198645979,155.25246072542845,19,9,8.434999999999999
m13q4,MCI,13,4,0.0402770083102493,0.0950554016620498,0.8215268225584594,0.8365146437418038,2.2571487714487364,2.3223373633015822,30803.0,38,3.739133002967711,124.34136370639511,69,52,49.136999999999986
